course_id,course_name,category,domain,difficulty_level,tags,prerequisite,instructor,enrollment_count,price,price_category,rating,duration_weeks,estimated_hours,popularity_score
COURSE001,Complete Python Bootcamp: From Zero to Hero in Python 3,Programming,Web Development,Beginner,"python, programming, web development, automation, data structures",basic computer skills,Prof. Michael Roberts,1920,59.99,Mid-range,4.3,8,40,9.5
COURSE002,Machine Learning A-Z: Hands-On Python & R In Data Science,Programming,Data Science,Intermediate,"machine learning, python, r, data science, statistics, algorithms",basic programming knowledge,Prof. Michael Roberts,1920,59.99,Mid-range,4.3,10,50,8.26
COURSE003,The Complete Digital Marketing Course - 12 Courses in 1,Business,Digital Marketing,Intermediate,"digital marketing, seo, social media, advertising, analytics, content marketing",basic internet knowledge,Dr. Amanda Johnson,3200,89.99,Premium,4.7,12,60,15.04
COURSE004,AWS Certified Solutions Architect - Associate 2024,Engineering,Cloud Computing,Advanced,"aws, cloud computing, architecture, devops, infrastructure, certification",networking fundamentals,Dr. Kevin Zhang,1850,129.99,Premium,4.8,16,80,8.88
COURSE005,Adobe Photoshop CC – Essentials Training Course,Design,Graphic Design,Beginner,"photoshop, graphic design, photo editing, digital art, creative suite",basic computer skills,Lisa Martinez,4200,39.99,Budget,4.4,6,30,18.48
COURSE006,Complete Web Development Course: HTML CSS JavaScript PHP,Programming,Web Development,Intermediate,"html, css, javascript, php, web development, responsive design",basic programming concepts,Carlos Rodriguez,3100,54.99,Mid-range,4.6,8,40,14.26
COURSE007,Financial Modeling & Valuation Analyst (FMVA),Business,Finance,Advanced,"financial modeling, valuation, excel, investment banking, corporate finance",accounting fundamentals,Emma Thompson,2800,69.99,Mid-range,4.5,10,50,12.6
COURSE008,The Complete Node.js Developer Course,Programming,Web Development,Intermediate,"nodejs, javascript, express, mongodb, api development, backend",javascript fundamentals,David Kim,2400,99.99,Premium,4.7,14,70,11.28
COURSE009,UX & Web Design Master Course: Strategy Design Development,Design,UI/UX Design,Intermediate,"ux design, ui design, web design, user research, prototyping, figma",basic design principles,Prof. Jennifer Walsh,1650,64.99,Mid-range,4.2,8,40,6.93
COURSE010,Introduction to Artificial Intelligence,Programming,Artificial Intelligence,Beginner,"artificial intelligence, machine learning, neural networks, algorithms, python",basic mathematics,Mark Anderson,3800,49.99,Budget,4.4,6,30,16.72
